Sensor_X,Sensor_Y,Sensor_Z,Peak_X,Peak_Y,Peak_Distance_m,Peak_Density_m2,X_Max_CWIF,X_80_Extent,Area_80_m2,HalfWidth_80_m
600,128,5,581.0,113.0,19.0,6.364642706094433e-06,19.0,156.0,336128.0,26.5
600,128,10,558.0,121.0,42.0,3.772796773639229e-06,44.0,155.0,719296.0,36.5
600,128,15,535.0,123.0,65.0,2.919200422311826e-06,69.0,204.0,1034752.0,45.0
600,128,20,508.0,117.0,92.0,2.056814600547367e-06,97.0,254.0,1385984.0,49.0
600,128,25,484.0,123.0,116.0,1.6005471594758856e-06,139.0,299.0,1720704.0,59.0
600,128,30,444.0,115.0,156.0,1.286125280787924e-06,159.0,338.0,2028608.0,61.5
600,128,35,426.0,119.0,174.0,1.0094214874477917e-06,196.0,375.0,2331072.0,67.5
600,128,40,396.0,109.0,204.0,8.401146966882125e-07,207.0,407.0,2577280.0,73.5
600,128,45,332.0,129.0,268.0,7.677550788475293e-07,263.0,439.0,2751488.0,74.0
600,128,48,332.0,130.0,268.0,7.537238795145105e-07,262.0,454.0,2795968.0,77.0
600,128,50,301.0,140.0,299.0,6.87379605577419e-07,300.0,463.0,2804288.0,76.5
600,128,55,281.0,116.0,319.0,6.732281138189195e-07,322.0,481.0,2828160.0,79.0
600,128,56,281.0,116.0,319.0,6.701282949725938e-07,322.0,485.0,2823488.0,80.0
600,128,60,252.0,108.0,348.0,6.492688413133743e-07,364.0,499.0,2788864.0,81.5
